"url","Name","Name_link","Country","Capacity","Status","Type","Owner","Operator","Connection"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fugen Atr","http://www.world-nuclear.org/reactor/default.aspx/FUGEN%20ATR","Japan","148 MWe","PERMANENT SHUTDOWN","Heavy Water Light Water Reactor","Japan Atomic Energy Agency","Japan Atomic Energy Agency","29 July 1978"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daiichi 1","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAIICHI-1","Japan","439 MWe","PERMANENT SHUTDOWN","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","17 November 1970"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daiichi 2","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAIICHI-2","Japan","760 MWe","PERMANENT SHUTDOWN","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","24 December 1973"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daiichi 3","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAIICHI-3","Japan","760 MWe","PERMANENT SHUTDOWN","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","26 October 1974"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daiichi 4","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAIICHI-4","Japan","760 MWe","PERMANENT SHUTDOWN","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","24 February 1978"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daiichi 5","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAIICHI-5","Japan","760 MWe","PERMANENT SHUTDOWN","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","22 September 1977"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daiichi 6","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAIICHI-6","Japan","1067 MWe","PERMANENT SHUTDOWN","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","4 May 1979"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daini 1","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAINI-1","Japan","1067 MWe","OPERABLE","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","31 July 1981"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daini 2","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAINI-2","Japan","1067 MWe","OPERABLE","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","23 June 1983"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fukushima Daini 3","http://www.world-nuclear.org/reactor/default.aspx/FUKUSHIMA-DAINI-3","Japan","1067 MWe","OPERABLE","Boiling Water Reactor","Tokyo Electric Power Company","Tokyo Electric Power Company","14 December 1984"
